u1 : 1038860.AXAP01000041 gene2806 (BradyrhizobiumelkaniiWSM2783) 
u269 : 1424334.W822 02525 (AdvenellakashmirensisW13003) 
u272 : 1502851.FG93 05847 (Boseasp.LC85) 
u273 : 272942.RCAP rcc02273 (RhodobactercapsulatusSB1003) 
u274 : 1105367.CG50 04805 (Paenirhodobacterenshiensis) 
u276 : 1336235.JAEG01000008 gene1341 (RhizobiumselenitireducensATCCBAA-1503) 
u284 : 1232437.KL662031 gene2543 (Desulfobaculasp.TS) 
u285 : 713586.KB900536 gene532 (ThioalkalivibriothiocyanodenitrificansARhD1) 
u286 : 314345.SPV1 06994 (MariprofundusferrooxydansPV-1) 
u287 : 314345.SPV1 00852 (MariprofundusferrooxydansPV-1) 
u291 : 178901.AmDm5 0299 (Acetobactermalorum) 
u292 : 215803.DB30 4163 (Enhygromyxasalina) 
u293 : 378806.STAUR 0277 (StigmatellaaurantiacaDW4/3-1) 
u297 : 177439.DP1876 (DesulfotaleapsychrophilaLSv54) 
u298 : 246195.DNO 1203 (DichelobacternodosusVCS1703A) 
u299 : 765912.Thimo 2709 (Thioflavicoccusmobilis8321) 
u300 : 631362.Thi970DRAFT 02379 (Thiorhodovibriosp.970) 
u301 : 765913.ThidrDRAFT 0350 (ThiorhodococcusdrewsiiAZ1) 
u302 : 768671.ThimaDRAFT 2389 (Thiocapsamarina5811) 
u303 : 765910.MARPU 07225 (Marichromatiumpurpuratum984) 
u313 : 1144310.PMI07 005644 (Rhizobiumsp.CF080) 
u314 : 861208.AGROH133 11363 (Agrobacteriumsp.H13-3) 
u315 : 1082932.ATCR1 15146 (AgrobacteriumtumefaciensCCNWGS0286) 
u316 : 1281779.H009 23572 (Agrobacteriumtumefaciensstr.Cherry2E-2-2) 
u317 : 176299.Atu3376 (Agrobacteriumfabrumstr.C58) 
u321 : 366394.Smed 2437 (SinorhizobiummedicaeWSM419) 
u322 : 266834.SMc02026 (Sinorhizobiummeliloti1021) 
u324 : 1132836.RCCGE510 05417 (Rhizobiumsp.CCGE510) 
u325 : 1041142.ATTP01000003 gene3518 (Rhizobiumleguminosarumbv.viciaeGB30) 
u326 : 1041138.KB890255 gene3105 (Rhizobiumgallicumbv.gallicumR602sp) 
u327 : 936136.ARRT01000007 gene1011 (Rhizobiumleguminosarumbv.viciae248) 
u330 : 492774.JQMB01000012 gene461 (Rhizobiumalamii) 
u334 : 1500301.JQMF01000008 gene951 (Rhizobiumsp.CF097) 
u335 : 864069.MicloDRAFT 00007770 (Microvirgalotononidis) 
u339 : 1144319.PMI16 04555 (Herbaspirillumsp.CF444) 
u340 : 1144342.PMI40 02861 (Herbaspirillumsp.YR522) 
u344 : 1054213.HMPREF9946 04929 (AcetobacteraceaebacteriumAT-5844) 
u346 : 511.JT27 06710 (Alcaligenesfaecalis) 
u347 : 266264.Rmet 4436 (CupriavidusmetalliduransCH34) 
u348 : 1003200.AXXA 08299 (AchromobacterinsuavisAXX-A) 
u353 : 1479235.KK366039 gene1802 (Halomonassp.HL-48) 
u354 : 1504981.KO116 3627 (Halomonassp.KO116) 
u355 : 1415755.JQLV01000001 gene3082 (Halomonassp.TG39a) 
u357 : 1380358.JADJ01000022 gene3853 (Halomonassp.23_GOM-1509m) 
u359 : 1118153.MOY 14027 (Halomonassp.GFAJ-1) 
u360 : 999141.GME 07874 (Halomonassp.TD01) 
u361 : 232346.JHQL01000002 gene1170 (Halomonasalkaliantarctica) 
u366 : 1479237.JMLY01000001 gene58 (Marinobactersp.HL-58) 
u367 : 365046.Rta 21760 (RamlibactertataouinensisTTB310) 
u368 : 397945.Aave 0183 (AcidovoraxcitrulliAAC00-1) 
u370 : 1218352.B597 016130 (PseudomonasstutzeriKOS6) 
u371 : 644801.Psest 3442 (PseudomonasstutzeriRCH2) 
u373 : 1212548.B381 15403 (PseudomonasstutzeriNF13) 
u374 : 379731.PST 0928 (PseudomonasstutzeriA1501) 
u378 : 743721.Psesu 0191 (Pseudoxanthomonassuwonensis11-1) 
u379 : 1211114.ALIP01000001 gene513 (Pseudoxanthomonassp.GW2) 
u384 : 626887.J057 11761 (MarinobacternanhaiticusD15-8W) 
u385 : 1415754.JQMK01000010 gene1457 (Marinobactersp.MCTG268) 
u386 : 443152.MDG893 08646 (MarinobacteralgicolaDG893) 
u389 : 743721.Psesu 0190 (Pseudoxanthomonassuwonensis11-1) 
u390 : 1211114.ALIP01000001 gene514 (Pseudoxanthomonassp.GW2) 
u393 : 1218352.B597 016125 (PseudomonasstutzeriKOS6) 
u394 : 644801.Psest 3441 (PseudomonasstutzeriRCH2) 
u395 : 1212548.B381 15408 (PseudomonasstutzeriNF13) 
u396 : 379731.PST 0929 (PseudomonasstutzeriA1501) 
u400 : 365046.Rta 21770 (RamlibactertataouinensisTTB310) 
u401 : 397945.Aave 0182 (AcidovoraxcitrulliAAC00-1) 
u406 : 215803.DB30 1848 (Enhygromyxasalina) 
u407 : 378806.STAUR 7621 (StigmatellaaurantiacaDW4/3-1) 
u411 : 556269.ACDQ01000006 gene1614 (OxalobacterformigenesOXCC13) 
u412 : 556268.OFAG 00904 (OxalobacterformigenesHOxBLS) 
u414 : 556269.ACDQ01000006 gene1616 (OxalobacterformigenesOXCC13) 
u415 : 556268.OFAG 00902 (OxalobacterformigenesHOxBLS) 
u418 : 762966.HMPREF9439 00857 (ParasutterellaexcrementihominisYIT11859) 
u419 : 506534.Rhein 0458 (Rheinheimerasp.A13L) 
u422 : 658187.LDG 7222 (LegionelladrancourtiiLLAP12) 
u423 : 661367.LLO 3101 (LegionellalongbeachaeNSW150) 
u424 : 1230343.CANP01000043 gene3335 (Legionellaanisastr.Linanisette) 
u425 : 1094715.CM001373 gene3074 (FluoribacterdumoffiiNY23) 
u429 : 56780.SYN 01571 (SyntrophusaciditrophicusSB) 
u433 : 629773.AORY01000005 gene2697 (Sphingomonassp.Mn802worker) 
u434 : 1470591.BW41 03104 (Sphingomonassp.RIT328) 
u435 : 1112214.AHIS01000089 gene908 (Sphingomonassp.PAMC26605) 
u436 : 1112216.JH594425 gene3454 (Sphingomonassp.PAMC26617) 
u440 : 1219049.SP5 105 00050 (SphingomonasparapaucimobilisNBRC15100) 
u442 : 1118235.CAJH01000010 gene651 (StenotrophomonasmaltophiliaPML168) 
u443 : 13690.CP98 04965 (Sphingobiumyanoikuyae) 
u444 : 1144307.PMI04 01553 (Sphingobiumsp.AP49) 
u446 : 1207055.C100 23290 (Sphingobiumsp.C100) 
u447 : 1331060.RLDS 17475 (SphingobiumlactosutensDS20) 
u448 : 314266.SKA58 14032 (Sphingomonassp.SKA58) 
u452 : 1114964.L485 08125 (SphingobiumbaderiLL03) 
u453 : 1346791.M529 19130 (SphingobiumummarienseRL-3) 
u454 : 1192759.AKIB01000088 gene2345 (SphingobiumxenophagumQYY) 
u455 : 1522072.IL54 2785 (Sphingobiumsp.ba1) 
u460 : 1335760.ASTG01000024 gene2300 (Sphingobiumsp.YL23) 
u461 : 452662.SJA C1-31380 (SphingobiumjaponicumUT26S) 
u462 : 46429.BV95 01348 (Sphingobiumchlorophenolicum) 
u465 : 13689.BV96 02406 (Sphingomonaspaucimobilis) 
u466 : 1219045.BV98 001849 (SphingobiumherbicidovoransNBRC16415) 
u471 : 384765.SIAM614 02606 (LabrenziaaggregataIAM12614) 
u472 : 876044.IMCC3088 2537 (gammaproteobacteriumIMCC3088) 
u473 : 566466.NOR53 2383 (gammaproteobacteriumNOR5-3) 
u478 : 1054213.HMPREF9946 04924 (AcetobacteraceaebacteriumAT-5844) 
u479 : 1054213.HMPREF9946 04930 (AcetobacteraceaebacteriumAT-5844) 
u482 : 314225.ELI 14340 (ErythrobacterlitoralisHTCC2594) 
u483 : 291985.CCSI01000007 gene510 (Erythrobactervulgaris) 
u484 : 161528.ED21 20664 (Erythrobactersp.SD-21) 
u486 : 685035.ADAE01000002 gene2078 (CitromicrobiumbathyomarinumJL354) 
u487 : 517722.AEUE01000002 gene2278 (Citromicrobiumsp.JLT1363) 
u491 : 1044.EH31 11750 (Erythrobacterlongus) 
u492 : 383381.EH30 12080 (Erythrobactersp.JL475) 
u493 : 237727.NAP1 11798 (Erythrobactersp.NAP1) 
u496 : 1479239.JQMU01000001 gene1666 (Porphyrobactersp.HL-46) 
u497 : 1248917.ANFX01000021 gene1687 (Porphyrobactersp.AAP82) 
u500 : 1219035.NT2 01 02780 (NovosphingobiumtardaugensNBRC16725) 
u501 : 1088721.NSU 1550 (NovosphingobiumpentaromativoransUS6-1) 
u502 : 702113.PP1Y AT4105 (Novosphingobiumsp.PP1Y) 
u504 : 1096930.L284 04615 (NovosphingobiumlindaniclasticumLE124) 
u505 : 555793.WSK 3398 (Novosphingobiumsp.Rr2-17) 
u506 : 158500.BV97 04212 (Novosphingobiumresinovorum) 
u507 : 1144305.PMI02 02909 (Novosphingobiumsp.AP12) 
u520 : 744980.TRICHSKD4 4389 (Roseibiumsp.TrichSKD4) 
u522 : 1129374.AJE 13854 (AlishewanellajeotgaliKCTC22429) 
u523 : 1090318.ATTI01000001 gene727 (Sphingomonasphyllosphaerae5.2) 
u524 : 1007104.SUS17 1798 (Sphingomonassp.S17) 
u526 : 1090319.KE386571 gene565 (SphingomonasphyllosphaeraeFA2) 
u528 : 1219035.NT2 05 01460 (NovosphingobiumtardaugensNBRC16725) 
u529 : 383381.EH30 11210 (Erythrobactersp.JL475) 
u530 : 1479239.JQMU01000001 gene959 (Porphyrobactersp.HL-46) 
u531 : 1248917.ANFX01000014 gene1361 (Porphyrobactersp.AAP82) 
u534 : 1044.EH31 16255 (Erythrobacterlongus) 
u535 : 237727.NAP1 10823 (Erythrobactersp.NAP1) 
u541 : 627192.SLG 01940 (Sphingobiumsp.SYK-6) 
u543 : 1112214.AHIS01000034 gene1056 (Sphingomonassp.PAMC26605) 
u544 : 1112216.JH594425 gene2341 (Sphingomonassp.PAMC26617) 
u546 : 1040989.AWZU01000032 gene3472 (Bradyrhizobiumsp.ARR65) 
u547 : 93220.LV28 09535 (Pandoraeapnomenusa) 
u548 : 269482.Bcep1808 4738 (BurkholderiavietnamiensisG4) 
u550 : 1472716.KBK24 0105190 (Burkholderiasp.K24) 
u551 : 1500897.JQNA01000002 gene4122 (Burkholderiasp.9120) 
u555 : 864073.HFRIS 007891 (HerbaspirillumfrisingenseGSF30) 
u560 : 637911.AM305 03288 (ActinobacillusminorNM305) 
u561 : 443152.MDG893 19089 (MarinobacteralgicolaDG893) 
u563 : 1280001.BAOA01000022 gene616 (VibriojasicidaMWB21) 
u564 : 1192124.LIG30 2036 (Burkholderiasp.lig30) 
u567 : 1280001.BAOA01000022 gene615 (VibriojasicidaMWB21) 
u568 : 891974.E05 01440 (Plautiastalisymbiont) 
u571 : 1207076.ALAT01000098 gene2549 (PseudomonasluteolaXLDN4-9) 
u572 : 1207076.ALAT01000098 gene2550 (PseudomonasluteolaXLDN4-9) 
u575 : 637911.AM305 01639 (ActinobacillusminorNM305) 
u576 : 1263831.F543 22910 (BibersteiniatrehalosiUSDA-ARS-USMARC-189) 
u579 : 1500894.JQNN01000001 gene2143 (Massiliasp.9096) 
u580 : 498211.CJA 3110 (CellvibriojaponicusUeda107) 
u581 : 1332071.L581 3703 (SerratiafonticolaAU-AP2C) 
u582 : 1484157.PSNIH2 19905 (Pantoeasp.PSNIH2) 
u583 : 1484158.PSNIH1 18700 (Pantoeasp.PSNIH1) 
u585 : 573.JG24 03010 (Klebsiellapneumoniae) 
u586 : 573.JG24 02935 (Klebsiellapneumoniae) 
u590 : 1179778.PMM47T1 07731 (Pseudomonassp.M47T1) 
u591 : 1388763.O165 005290 (PseudomonasmosseliiSJ10) 
u594 : 375286.mma 0570 (Janthinobacteriumsp.Marseille) 
u595 : 204773.HEAR0606 (Herminiimonasarsenicoxydans) 
u597 : 29581.BW37 05437 (Janthinobacteriumlividum) 
u599 : 543728.Vapar 3231 (VariovoraxparadoxusS110) 
u600 : 595537.Varpa 2415 (VariovoraxparadoxusEPS) 
u601 : 1157708.KB907450 gene5245 (Variovoraxparadoxus110B) 
u605 : 1410619.SRDD 31440 (Serratiasp.DD3) 
u606 : 1524467.IV04 09000 (Serratiasp.Ag1) 
u608 : 1198452.Jab 2c14380 (Janthinobacteriumsp.HH01) 
u609 : 1192124.LIG30 3319 (Burkholderiasp.lig30) 
u610 : 292.DM42 5829 (Burkholderiacepacia) 
u611 : 216591.BCAM2165 (BurkholderiacenocepaciaJ2315) 
u613 : 269482.Bcep1808 5453 (BurkholderiavietnamiensisG4) 
u614 : 339670.Bamb 4360 (BurkholderiaambifariaAMMD) 
u621 : 1192124.LIG30 3901 (Burkholderiasp.lig30) 
u622 : 269482.Bcep1808 5125 (BurkholderiavietnamiensisG4) 
u623 : 339670.Bamb 4029 (BurkholderiaambifariaAMMD) 
u624 : 292.DM42 6171 (Burkholderiacepacia) 
u625 : 216591.BCAM1779 (BurkholderiacenocepaciaJ2315) 
u630 : 272560.BPSS0946 (BurkholderiapseudomalleiK96243) 
u631 : 342113.DM82 5116 (Burkholderiaoklahomensis) 
u633 : 999541.bgla 2g12180 (BurkholderiagladioliBSR3) 
u634 : 626418.bglu 2g14000 (BurkholderiaglumaeBGR1) 
u639 : 1144342.PMI40 04237 (Herbaspirillumsp.YR522) 
u640 : 596151.DesfrDRAFT 1586 (DesulfovibriofructosivoransJJ) 
u641 : 291112.PAU 02294 (Photorhabdusasymbiotica) 
u642 : 393305.YE2019 (Yersiniaenterocoliticasubsp.enterocolitica8081) 
u645 : 406818.XBJ1 2301 (XenorhabdusbovieniiSS-2004) 
u646 : 1225184.ALXE01000046 gene941 (Pantoeasp.A4) 
u647 : 585.DR95 683 (Proteusvulgaris) 
u648 : 1205683.CAKR01000003 gene2131 (YersiniamassiliensisCCUG53443) 
u649 : 573.JG24 02180 (Klebsiellapneumoniae) 
u650 : 741091.Rahaq 4870 (Rahnellasp.Y9602) 
u651 : 1332071.L581 3780 (SerratiafonticolaAU-AP2C) 
u652 : 1397284.AYMN01000147 gene3785 (Serratiasp.H1n) 
u656 : 571.MC52 15470 (Klebsiellaoxytoca) 
u657 : 1114922.CIFAM 04 03080 (CitrobacterfarmeriGTC1319) 
u658 : 35703.DQ02 15790 (Citrobacteramalonaticus) 
u660 : 637910.ROD 12321 (CitrobacterrodentiumICC168) 
u661 : 1218086.BBNB01000006 gene67 (CitrobactersedlakiiNBRC105722) 
u670 : 891974.E05 01430 (Plautiastalisymbiont) 
u671 : 706191.PANA 1760 (PantoeaananatisLMG20103) 
u672 : 932677.PAJ 1103 (PantoeaananatisAJ13355) 
u674 : 66269.NL54 05445 (Pantoeastewartii) 
u676 : 593105.S7A 17859 (Pantoeasp.Sc1) 
u686 : 371042.NG99 16660 (Erwiniatypographi) 
u687 : 1484157.PSNIH2 08375 (Pantoeasp.PSNIH2) 
u692 : 1484157.PSNIH2 21575 (Pantoeasp.PSNIH2) 
u693 : 1484158.PSNIH1 20630 (Pantoeasp.PSNIH1) 
u695 : 573.JG24 11550 (Klebsiellapneumoniae) 
u697 : 1286170.RORB6 05655 (RaoultellaornithinolyticaB6) 
u698 : 572265.HDEF 1020 (CandidatusHamiltonelladefensa5AT(Acyrthosiphonpisum)) 
u699 : 1267600.JFGT01000006 gene1617 (Pantoeasp.IMH) 
u701 : 1410619.SRDD 38310 (Serratiasp.DD3) 
u702 : 1035839.AFNK01000044 gene985 (HaemophilussputorumCCUG13788) 
u703 : 470.IX87 12750 (Acinetobacterbaumannii) 
u704 : 1116472.MGMO 218c00040 (MethyloglobulusmorosusKoM1) 
u707 : 573.JG24 02205 (Klebsiellapneumoniae) 
u709 : 573.JG24 30490 (Klebsiellapneumoniae) 
u712 : 1410620.SHLA 131c000020 (Shinellasp.DD12) 
u717 : 981384.AEYW01000013 gene427 (Ruegeriaconchae) 
u718 : 911045.PSE 3735 (Pseudovibriosp.FO-BEG1) 
u720 : 1282876.BAOK01000001 gene1270 (alphaproteobacteriumMf1.05b.01) 
u721 : 1569209.BBPH01000086 gene2032 (Paracoccussp.PAMC22219) 
u722 : 1569209.BBPH01000165 gene1061 (Paracoccussp.PAMC22219) 
u724 : 631454.N177 2361 (LutibaculumbaratangenseAMV1) 
u725 : 1305735.JAFT01000004 gene262 (Oceanicolasp.HL-35) 
u728 : 1354722.JQLS01000008 gene21 (Roseovariussp.MCTG156(2b)) 
u733 : 1217648.F933 00564 (AcinetobacterbeijerinckiiCIP110307) 
u734 : 981223.AIED01000025 gene1445 (Acinetobactersp.NCTC7422) 
u735 : 1217658.F987 00276 (AcinetobactergyllenbergiiNIPH230) 
u736 : 1217703.F904 02294 (Acinetobactersp.ANC4105) 
u737 : 1217708.F887 01563 (Acinetobactersp.NIPH2100) 
u742 : 796620.VIBC2010 03647 (VibriocaribbeanicusATCCBAA-2122) 
u743 : 1248232.BANQ01000067 gene2309 (Photobacteriumleiognathilrivu.4.1) 
u745 : 1191299.AJYX01000115 gene47 (Vibriokanaloae5S-149) 
u746 : 316275.VSAL I1245 (AliivibriosalmonicidaLFI1238) 
u747 : 675814.VIC 001672 (VibriocoralliilyticusATCCBAA-450) 
u749 : 1517681.HW45 12060 (Vibriosp.ER1A) 
u752 : 1116375.VEJY3 22156 (Vibriosp.EJY3) 
u753 : 674977.VMC 16480 (Vibrioalginolyticus40B) 
u754 : 223926.28808643 (VibrioparahaemolyticusRIMD2210633) 
u759 : 314292.VAS14 03268 (PhotobacteriumangustumS14) 
