u1 : 709797.CSIRO 3456 (BradyrhizobiaceaebacteriumSG-6C) 
u289 : 1537915.JU57 12385 (Sulfurospirillumsp.SCADC) 
u290 : 1150621.SMUL 1249 (SulfurospirillummultivoransDSM12446) 
u293 : 944547.ABLL 1963 (Arcobactersp.L) 
u294 : 944546.ABED 1379 (ArcobacterbutzleriED-1) 
u295 : 367737.Abu 1478 (ArcobacterbutzleriRM4018) 
u303 : 84531.JMTZ01000044 gene961 (Lysobacterantibioticus) 
u304 : 1121015.N789 10375 (ArenimonasoryziterraeDSM21050) 
u306 : 1278073.MYSTI 07129 (MyxococcusstipitatusDSM14675) 
u308 : 338966.Ppro 0184 (PelobacterpropionicusDSM2379) 
u309 : 1122165.AUHS01000002 gene2942 (LegionellamoravicaDSM19234) 
u310 : 1268635.Loa 01588 (LegionellaoakridgensisATCC33761) 
u311 : 1122169.AREN01000016 gene1278 (LegionellashakespeareiDSM23087) 
u315 : 573.JG24 00315 (Klebsiellapneumoniae) 
u317 : 264462.Bd3212 (BdellovibriobacteriovorusHD100) 
u318 : 1094558.ME5 00934 (BartonellatamiaeTh239) 
u320 : 1034943.BN1094 00859 (Legionellamassiliensis) 
u321 : 1408445.JHXP01000007 gene462 (LegionellasainthelensiATCC35248) 
u322 : 661367.LLO 1201 (LegionellalongbeachaeNSW150) 
u324 : 1230343.CANP01000023 gene1696 (Legionellaanisastr.Linanisette) 
u325 : 297246.lpp1588 (Legionellapneumophilastr.Paris) 
u326 : 272624.lpg1618 (Legionellapneumophilasubsp.pneumophilastr.Philadelphia1) 
u328 : 1094715.CM001375 gene160 (FluoribacterdumoffiiNY23) 
u329 : 297246.plpp0077 (Legionellapneumophilastr.Paris) 
u334 : 1094715.CM001373 gene2123 (FluoribacterdumoffiiNY23) 
u337 : 658187.LDG 5700 (LegionelladrancourtiiLLAP12) 
u339 : 334545.CCMG01000009 gene780 (Rickettsiatamurae) 
u340 : 391896.A1I 07395 (RickettsiabelliiOSU85-389) 
u341 : 336407.RBE 0107 (RickettsiabelliiRML369-C) 
u343 : 315456.RF 1275 (RickettsiafelisURRWXCal2) 
u346 : 1144888.CM001467 gene304 (RickettsiahelveticaC9P9) 
u347 : 1319815.HMPREF0202 02108 (CetobacteriumsomeraeATCCBAA-474) 
u351 : 1437425.CSEC 2103 (CriblamydiasequanensisCRIB-18) 
u352 : 765952.PUV 15980 (ParachlamydiaacanthamoebaeUV-7) 
u355 : 985867.AEWF01000002 gene1672 (CandidatusOdyssellathessalonicensisL13) 
u356 : 244582.JQAK01000004 gene366 (CandidatusParacaedibactersymbiosus) 
u358 : 91604.ID47 03650 (CandidatusParacaedibacteracanthamoebae) 
u361 : 1528098.NOVO 01400 (RickettsialesbacteriumAc37b) 
u362 : 86106.I862 01170 (endosymbiontofAcanthamoebasp.UWC8) 
u365 : 1131814.JAFO01000001 gene1291 (Xanthobactersp.126) 
u366 : 78245.Xaut 1441 (XanthobacterautotrophicusPy2) 
u368 : 1535287.JP74 00695 (Devosiasp.17-2-E-8) 
u369 : 414684.RC1 2760 (RhodospirillumcentenumSW) 
u370 : 107635.AZUO01000001 gene387 (Methylosinussp.LW3) 
u371 : 136993.KB900626 gene3305 (Methylosinussp.LW4) 
u374 : 1207063.P24 18042 (OceanibaculumindicumP24) 
u375 : 670292.JH26 22205 (Microvirgaaerilata) 
u379 : 861208.AGROH133 04800 (Agrobacteriumsp.H13-3) 
u380 : 176299.Atu0933 (Agrobacteriumfabrumstr.C58) 
u381 : 1082932.ATCR1 21794 (AgrobacteriumtumefaciensCCNWGS0286) 
u382 : 1281779.H009 14173 (Agrobacteriumtumefaciensstr.Cherry2E-2-2) 
u386 : 492774.JQMB01000001 gene5905 (Rhizobiumalamii) 
u387 : 1532558.JL39 26565 (Rhizobiumsp.YS-1r) 
u388 : 1028801.RG1141 CH08930 (Neorhizobiumgalegaebv.officinalisbv.officinalisstr.HAMBI1141) 
u389 : 1028800.RG540 CH09110 (Neorhizobiumgalegaebv.orientalisstr.HAMBI540) 
u391 : 690585.JNNU01000005 gene3315 (Rhizobiumvignae) 
u392 : 1144310.PMI07 002994 (Rhizobiumsp.CF080) 
u397 : 1429916.X566 22830 (Afipiasp.P52-10) 
u398 : 1502851.FG93 00800 (Boseasp.LC85) 
u399 : 1287276.X752 16795 (Mesorhizobiumsp.LNJC398B00) 
u400 : 1040986.ATYO01000008 gene2720 (Mesorhizobiumsp.WSM3224) 
u402 : 1040987.AZUY01000031 gene4649 (Mesorhizobiumsp.WSM3626) 
u403 : 754035.Mesau 03814 (MesorhizobiumaustralicumWSM2073) 
u405 : 765698.Mesci 4203 (MesorhizobiumciceribiovarbiserrulaeWSM1271) 
u406 : 1287116.X734 10925 (Mesorhizobiumsp.L2C084A000) 
u408 : 1298858.AUEL01000009 gene4403 (Mesorhizobiumsp.URHA0056) 
u409 : 536019.Mesop 4048 (MesorhizobiumopportunistumWSM2075) 
u410 : 1380350.JIAP01000021 gene313 (Mesorhizobiumsp.URHC0008) 
u411 : 1040982.AXAL01000007 gene2827 (MesorhizobiumlotiCJ3sym) 
u412 : 935548.KI912159 gene875 (MesorhizobiumlotiR88b) 
u419 : 1082933.MEA186 10594 (MesorhizobiumamorphaeCCNWGS0123) 
u420 : 1297570.MESS4 660043 (Mesorhizobiumsp.STM4661) 
u426 : 1116369.KB890024 gene2071 (Hoefleasp.108) 
u430 : 1219035.NT2 10 00060 (NovosphingobiumtardaugensNBRC16725) 
u431 : 1122132.AQYH01000019 gene397 (KaistiagranuliDSM23481) 
u433 : 83406.HDN1F 04970 (gammaproteobacteriumHdN1) 
u436 : 1437448.AZRT01000008 gene4879 (OchrobactrumrhizosphaeraeSJY1) 
u437 : 1396418.BATQ01000117 gene4566 (Verrucomicrobiumsp.BvORR034) 
u441 : 1214065.BAGV01000061 gene917 (EnterobacteriaceaebacteriumB14) 
u442 : 382245.ASA 4346 (Aeromonassalmonicidasubsp.salmonicidaA449) 
u443 : 1448139.AI20 19220 (AeromonashydrophilaYL17) 
u444 : 380703.AHA 4258 (Aeromonashydrophilasubsp.hydrophilaATCC7966) 
u446 : 998088.B565 4000 (AeromonasveroniiB565) 
u450 : 1110502.TMO 3399 (TistrellamobilisKA081020-065) 
u451 : 1096546.WYO 2788 (Methylobacteriumsp.GXF4) 
u452 : 760117.JN27 23720 (Massiliaconsociata) 
u453 : 1502852.FG94 00696 (Massiliasp.LC238) 
u455 : 883126.HMPREF9710 03981 (MassiliatimonaeCCUG45783) 
u456 : 1198452.Jab 2c23430 (Janthinobacteriumsp.HH01) 
u459 : 1198452.Jab 2c23440 (Janthinobacteriumsp.HH01) 
u460 : 1125973.JNLC01000001 gene33 (Boseasp.117) 
u464 : 1005395.CSV86 16915 (PseudomonasputidaCSV86) 
u465 : 1003200.AXXA 05708 (AchromobacterinsuavisAXX-A) 
u466 : 1216976.AX27061 4146 (AchromobacterxylosoxidansNBRC15126) 
u469 : 398578.Daci 4544 (DelftiaacidovoransSPH-1) 
u470 : 1235457.C404 19435 (Ralstoniasp.AU12-08) 
u471 : 757424.Hsero 3593 (HerbaspirillumseropedicaeSmR1) 
u473 : 216591.BCAM0393 (BurkholderiacenocepaciaJ2315) 
u474 : 292.DM42 4759 (Burkholderiacepacia) 
u476 : 626418.bglu 2g15400 (BurkholderiaglumaeBGR1) 
u477 : 999541.bgla 2g09520 (BurkholderiagladioliBSR3) 
u483 : 859657.RPSI07 mp0046 (RalstoniasolanacearumPSI07) 
u484 : 267608.RSp0030 (RalstoniasolanacearumGMI1000) 
u486 : 1235457.C404 03245 (Ralstoniasp.AU12-08) 
u487 : 402626.Rpic 3817 (Ralstoniapickettii12J) 
u492 : 1380380.JIAX01000012 gene480 (Ahrensiasp.13_GOM-1096m) 
u493 : 935261.JAGL01000016 gene2781 (Aminobactersp.J41) 
u494 : 1410620.SHLA 26c000810 (Shinellasp.DD12) 
u496 : 1159870.KB907784 gene2902 (Bordetellasp.FB-8) 
u497 : 1120983.KB894573 gene422 (AmorphuscoralliDSM19760) 
u499 : 1449065.JMLL01000011 gene2002 (Phyllobacteriumsp.UNC302MFCol5.2) 
u500 : 311402.Avi 1053 (AgrobacteriumvitisS4) 
u501 : 1246459.KB898354 gene5006 (Rhizobiumsp.2MFCol3.1) 
u502 : 1562701.BBOF01000061 gene1732 (bacteriumendosymbiontofMortierellaelongataFMR23-6) 
u507 : 272560.BPSS1997 (BurkholderiapseudomalleiK96243) 
u508 : 342113.DM82 6292 (Burkholderiaoklahomensis) 
u510 : 1157708.KB907462 gene962 (Variovoraxparadoxus110B) 
u511 : 29581.BW37 04212 (Janthinobacteriumlividum) 
u516 : 1381123.AYOD01000068 gene205 (Aliihoefleasp.2WW) 
u517 : 1380367.JIBC01000004 gene2177 (Sulfitobactersp.20_GPM-1509m) 
u519 : 1122214.AQWH01000014 gene3619 (MartelellamediterraneaDSM17316) 
u520 : 1231190.NA8A 08574 (NitratireductorindicusC115) 
u521 : 1367847.JCM7686 1684 (ParacoccusaminophilusJCM7686) 
u536 : 1408473.JHXO01000003 gene2557 (ProlixibacterbellariivoransATCCBAA-1284) 
u538 : 1192034.CAP 3924 (ChondromycesapiculatusDSM436) 
u539 : 742159.HMPREF0004 3176 (AchromobacterpiechaudiiATCC43553) 
u541 : 1209072.ALBT01000032 gene2085 (Cellvibriomixtussubsp.mixtusJ3-8) 
u542 : 1134474.O59 000937 (Cellvibriosp.BR) 
u544 : 292414.TM1040 0211 (Ruegeriasp.TM1040) 
u545 : 1123229.AUBC01000012 gene2832 (SalinarimonasroseaDSM21201) 
u546 : 314254.OA2633 03171 (Oceanicaulissp.HTCC2633) 
u547 : 1122613.ATUP01000001 gene202 (OceanicaulisalexandriiDSM11625) 
u554 : 28229.ND2E 4012 (Colwelliapsychrerythraea) 
u555 : 1265503.KB905173 gene4230 (ColwelliapiezophilaATCCBAA-637) 
u557 : 1144888.CM001467 gene305 (RickettsiahelveticaC9P9) 
u558 : 1232452.BAIB02000016 gene2604 (ClostridialesbacteriumVE202-14) 
u560 : 452659.RrIowa 1453 (Rickettsiarickettsiistr.Iowa) 
u561 : 272951.rsib orf860 (Rickettsiasibirica246) 
u562 : 1297569.MESS2 510063 (MesorhizobiummetalliduransSTM2683) 
u563 : 63737.Npun F3979 (NostocpunctiformePCC73102) 
u568 : 1319815.HMPREF0202 02107 (CetobacteriumsomeraeATCCBAA-474) 
u570 : 1123252.ATZF01000005 gene4030 (ShimazuellakribbensisDSM45090) 
u571 : 1235802.C823 04230 (EubacteriumplexicaudatumASF492) 
u573 : 1265503.KB905173 gene4231 (ColwelliapiezophilaATCCBAA-637) 
u576 : 748247.AZKH 1955 (Azoarcussp.KH32C) 
u577 : 1442598.JABW01000001 gene1818 (ArcobactercibariusLMG21996) 
u579 : 1340434.AXVA01000018 gene854 (Bacillussp.UNC438CL73TsuS30) 
u580 : 1340434.AXVA01000018 gene853 (Bacillussp.UNC438CL73TsuS30) 
u584 : 452659.RrIowa 1454 (Rickettsiarickettsiistr.Iowa) 
u585 : 518637.EUBIFOR 00819 (HoldemanellabiformisDSM3989) 
u587 : 411461.DORFOR 02711 (DoreaformicigeneransATCC27755) 
u588 : 616991.JPOO01000003 gene1901 (Arenibacteralgicola) 
u591 : 1232452.BAIB02000016 gene2605 (ClostridialesbacteriumVE202-14) 
u592 : 1442598.JABW01000001 gene1817 (ArcobactercibariusLMG21996) 
u596 : 1192868.CAIU01000023 gene3319 (PseudaminobactersalicylatoxidansKCT001) 
u597 : 1382305.AZUC01000063 gene3300 (Sporosarcinasp.D27) 
u599 : 1123252.ATZF01000005 gene4031 (ShimazuellakribbensisDSM45090) 
u600 : 616991.JPOO01000003 gene1902 (Arenibacteralgicola) 
u603 : 334545.CCMG01000009 gene781 (Rickettsiatamurae) 
u604 : 411468.CLOSCI 03207 ([Clostridium]scindensATCC35704) 
u607 : 686578.AFFX01000001 gene1409 (Pseudomonassp.S9) 
u609 : 1038866.KB902813 gene2158 (Bradyrhizobiumsp.WSM2793) 
u610 : 1279017.AQYJ01000029 gene3878 (MicrobulbifervariabilisATCC700307) 
u613 : 272951.rsib orf859 (Rickettsiasibirica246) 
u614 : 32049.SYNPCC7002 A2334 (Synechococcussp.PCC7002) 
u616 : 575586.HMPREF0016 02934 (AcinetobacterjohnsoniiSH046) 
u617 : 1265503.KB905173 gene4229 (ColwelliapiezophilaATCCBAA-637) 
u618 : 1265503.KB905168 gene1329 (ColwelliapiezophilaATCCBAA-637) 
u622 : 1123008.KB905696 gene3083 (ProteiniphilumacetatigenesDSM18083) 
u627 : 1235799.C818 00531 (Lachnospiraceaebacterium3-2) 
u628 : 553973.CLOHYLEM 04847 ([Clostridium]hylemonaeDSM15053) 
u629 : 1232453.BAIF02000062 gene1822 (ClostridialesbacteriumVE202-21) 
u630 : 556261.HMPREF0240 00065 (Clostridiumsp.D5) 
u633 : 1226325.HMPREF1548 02372 (Clostridiumsp.KLE1755) 
u634 : 457412.RSAG 00587 (Ruminococcussp.5_1_39BFAA) 
u635 : 1121115.AXVN01000083 gene2465 (BlautiawexleraeDSM19850) 
u637 : 411461.DORFOR 00187 (DoreaformicigeneransATCC27755) 
u638 : 742765.HMPREF9457 03130 (Doreaformicigenerans4_6_53AFAA) 
u639 : 471875.RUMLAC 01237 (RuminococcuslactarisATCC29176) 
u640 : 1256908.HMPREF0373 00319 (EubacteriumramulusATCC29099) 
u644 : 411462.DORLON 01764 (DorealongicatenaDSM13814) 
u646 : 1280698.AUJS01000066 gene710 (DorealongicatenaAGR2136) 
u650 : 411902.CLOBOL 04085 ([Clostridium]bolteaeATCCBAA-613) 
u651 : 1235793.C809 02173 (LachnospiraceaebacteriumCOE1) 
u652 : 1235790.C805 02381 (Eubacteriumsp.14-2) 
u653 : 622312.ROSEINA2194 01800 (RoseburiainulinivoransDSM16841) 
u654 : 585394.RHOM 15305 (RoseburiahominisA2-183) 
u655 : 665950.HMPREF1025 02736 (Lachnospiraceaebacterium3_1_46FAA) 
u656 : 1235800.C819 00708 (Lachnospiraceaebacterium10-1) 
u657 : 1235802.C823 01855 (EubacteriumplexicaudatumASF492) 
u664 : 665950.HMPREF1025 02605 (Lachnospiraceaebacterium3_1_46FAA) 
u665 : 537007.BLAHAN 04954 (BlautiahanseniiDSM20583) 
u666 : 537007.BLAHAN 06649 (BlautiahanseniiDSM20583) 
u671 : 1235798.C817 01562 (Doreasp.5-2) 
u672 : 1235798.C817 03980 (Doreasp.5-2) 
u675 : 658655.HMPREF0988 03035 (Lachnospiraceaebacterium1_4_56FAA) 
u677 : 397291.C804 00318 (LachnospiraceaebacteriumA4) 
u678 : 397288.C806 02673 (Lachnospiraceaebacterium3-1) 
u679 : 397290.C810 02462 (LachnospiraceaebacteriumA2) 
u684 : 658088.HMPREF0987 01392 (Lachnospiraceaebacterium9_1_43BFAA) 
u688 : 33035.JPJF01000009 gene1562 (Blautiaproducta) 
u690 : 411474.COPEUT 01351 (CoprococcuseutactusATCC27759) 
u691 : 411490.ANACAC 01104 (AnaerostipescaccaeDSM14662) 
u692 : 1232447.BAHW02000030 gene2344 (ClostridialesbacteriumVE202-09) 
u696 : 903814.ELI 4241 (EubacteriumlimosumKIST612) 
u697 : 66692.ABC0265 (BacillusclausiiKSM-K16) 
u698 : 562743.JH976439 gene154 (AmphibacillusjilinensisY1) 
u700 : 1499968.TCA2 3268 (Paenibacillussp.TCA20) 
u701 : 743719.PaelaDRAFT 3840 (Paenibacilluslactis154) 
u703 : 981383.AEWH01000021 gene2585 (OrnithinibacillusscapharcaeTW25) 
u704 : 586413.CCDL010000001 gene1111 (Oceanobacillusmanasiensis) 
u705 : 1238184.CM001792 gene2919 (OceanobacilluskimchiiX50) 
u708 : 1200792.AKYF01000008 gene814 (BrevibacillusbrevisX23) 
u709 : 358681.BBR47 12020 (BrevibacillusbrevisNBRC100599) 
u711 : 1121085.AUCI01000006 gene1670 (BacillusaidingensisDSM18341) 
u712 : 649747.HMPREF0083 03011 (AneurinibacillusaneurinilyticusATCC12856) 
u713 : 997346.HMPREF9374 3946 (Desmosporasp.8437) 
u716 : 1348908.KI518607 gene3207 (BacillusmegateriumMSP20.1) 
u718 : 935836.JAEL01000072 gene3163 (Bacillussp.J33) 
u720 : 1033734.CAET01000075 gene2752 (Bacillustimonensis) 
u722 : 1196031.ALEG01000013 gene35 (Bacillusoceanisediminis2691) 
u723 : 665959.HMPREF1013 04537 (Bacillussp.2_A_57_CT2) 
u727 : 1285586.H131 23057 (LysinibacillussphaericusOT4b.31) 
u728 : 574376.BAMA 18515 (Bacillusmanliponensis) 
u729 : 1169144.KB910978 gene715 (Bacillussp.123MFChir2) 
